policy,action_index,action_label,adjustment,reward,defaulted,predicted_pd,new_limit,monthly_interest,fee_income,expected_loss,rwa_cost,constraint_penalty
static_maintain,2,0%,0.0,-41.63845587623733,0,0.04036665346038195,3620.624312424945,7.087538466631937,6.014512344925357,10.49034100288747,1.5258677822381774,0.0
static_maintain,2,0%,0.0,-1179.7845540156466,1,0.09220593003869323,5732.446498729876,21.555315172846075,21.50795209493404,72.87602236894571,10.600148708210284,52.20593003869323
static_maintain,2,0%,0.0,-526.1007619904342,0,0.07068153482409502,8269.86519808797,44.34050967744395,29.20797169199927,114.91536022576048,16.71496148738334,0.0
static_maintain,2,0%,0.0,-384.8192010130147,0,0.07729405228680147,6543.280410120625,29.89664802789341,27.42354614185377,84.73054611516343,12.3244430712965,0.0
static_maintain,2,0%,0.0,-1059.3697301807656,0,0.10203955504274671,9207.786702123378,59.83064860848342,50.94692470249977,223.85340127071467,32.56049473028577,2.0395550427467075
static_maintain,2,0%,0.0,-1370.971919383942,0,0.21787159900942968,4617.247658233008,30.31652494980439,22.80761344628239,242.1873581315156,35.22725209185681,160.3183889846654
static_maintain,2,0%,0.0,-72.79619865341003,0,0.03055017674940739,6922.738962861474,19.024024127164754,19.380280537127767,21.31020098422871,3.099665597705994,0.0
static_maintain,2,0%,0.0,-1030.0484424454667,0,0.12214586971392714,6668.923190154535,47.982893207555755,43.41018294266583,214.90011481500414,31.258198518546052,0.053646742848178705
static_maintain,2,0%,0.0,-24.684629783958822,0,0.014703347216104137,12895.44904159155,29.65606604142374,29.08894827615776,15.988259322594834,2.32556499237743,0.0
static_maintain,2,0%,0.0,-913.7220252140262,0,0.17526655737424235,3450.2261680685865,27.684260213939933,13.615182273991095,177.91124930883183,25.877999899466445,26.648221308598412
static_maintain,2,0%,0.0,-366.64218883954845,0,0.07189082468596024,5413.453808800237,30.116463095607855,17.49664458409893,79.38690351414299,11.547185965693524,0.0
static_maintain,2,0%,0.0,-261.27168317165257,0,0.04724858255795479,7027.262291150992,36.326640065891674,30.80281435127859,62.93401591423434,9.154038678434086,0.0
