world_id,world_kind,signal,policy,information_set,episodes,customer_months,cumulative_reward,discounted_reward,net_economic_value,revenue,credit_loss,funding_cost,capital_charge,constraint_penalty,mean_balance,mean_limit,mean_utilization,limit_changes,reversals,default_rate,ever_delinquent_rate,delinquent_month_rate,credit_loss_rate,mean_exposure_at_default,mean_predicted_pd,high_risk_exposure_share,increase_fraction,decrease_fraction,no_change_fraction,requested_change,effective_change,mean_absolute_change,delinquent_increase_fraction,severe_delinquent_increases,blocked_fraction,mean_limit_growth,dynamics.spend_limit_elasticity,dynamics.income_sigma,dynamics.payment_persistence,dynamics.missed_delinquency,dynamics.payment_income_cap,default.intercept,default.utilization,default.months_delinquent,default.debt_to_income,default.stress,macro_onset,macro_duration,macro_recovery,macro_intensity
random_021,randomized,identity,AlwaysDecrease,OBSERVABLE_ONLY,64.0,575.0,-3760.865318686054,-3364.8418688157003,-1393.582802575697,462.964062164516,1781.066671503448,75.48019323676502,2259.9494213799526,107.33309473040399,3526.68138392756,4236.771268684139,0.8828998712483056,8.953125,0.0,0.90625,0.921875,0.30434782608695654,0.6285699046877077,3573.2999052106793,0.595162717766042,0.5166731075844999,0.0,0.9965217391304347,0.0034782608695652175,-0.09965217391304344,-0.09955457172792459,0.09955457172792459,0.0,0.0,0.0,-0.5560982303162767,0.18537870149664581,0.025738342896908756,0.5924140495822594,0.7655110655063506,0.4761452441530953,-6.282747833962629,1.6151126477883668,0.7475523365924441,0.3436622460310783,0.8665687354126567,4,10,3,1.6641851643606558
random_021,randomized,identity,AlwaysDecrease20,OBSERVABLE_ONLY,64.0,451.0,-2682.7347246010713,-2456.286543617783,-1185.9796975529998,302.3109011558895,1438.6090694594131,49.68152924947613,1411.6901720555798,85.06485499249152,3026.1142972087437,3200.4381952200138,1.0877520073144806,6.71875,0.0,0.984375,0.890625,0.3392461197339246,0.5077105647649106,2657.1711528254673,0.6008359636373337,0.46838618529720233,0.0,0.9534368070953437,0.04656319290465632,-0.19068736141906867,-0.1887352296633007,0.1887352296633007,0.0,0.0,0.0,-0.7324263320817772,0.18537870149664581,0.025738342896908756,0.5924140495822594,0.7655110655063506,0.4761452441530953,-6.282747833962629,1.6151126477883668,0.7475523365924441,0.3436622460310783,0.8665687354126567,4,10,3,1.6641851643606558
random_021,randomized,identity,AlwaysIncrease,OBSERVABLE_ONLY,64.0,703.0,-6615.692362262408,-5698.303943211273,-2521.242475278223,742.3608347404934,3141.051911258164,122.55139876055219,3964.0190393098756,130.43084767430963,4699.032457990052,10271.9361555535,0.48956695999691596,6.359375,0.0,0.84375,0.921875,0.2702702702702703,1.1085327304519514,6768.596711128704,0.5891077470102575,0.616228596673565,0.5789473684210527,0.0,0.42105263157894735,0.05789473684210532,0.05592736862074565,0.05592736862074565,0.11522048364153627,0.0,0.0,0.8819645796636586,0.18537870149664581,0.025738342896908756,0.5924140495822594,0.7655110655063506,0.4761452441530953,-6.282747833962629,1.6151126477883668,0.7475523365924441,0.3436622460310783,0.8665687354126567,4,10,3,1.6641851643606558
random_021,randomized,identity,MyopicEconomic,OBSERVABLE_ONLY,64.0,729.0,-6162.384684531511,-5259.874311893932,-2228.126422793734,721.8579972111362,2831.8412985011755,118.14312150369463,3797.269954489257,136.98830724852024,4329.706390229515,10209.027244735258,0.4965248035700561,6.46875,1.390625,0.84375,0.90625,0.27434842249657065,0.9994068406136879,6102.2842795984925,0.5955012518886611,0.6039860158213096,0.4375857338820302,0.13031550068587106,0.43209876543209874,0.06008230452674896,0.057046197558008965,0.10258803569243968,0.07270233196159122,0.0,0.0,0.9937387847396628,0.18537870149664581,0.025738342896908756,0.5924140495822594,0.7655110655063506,0.4761452441530953,-6.282747833962629,1.6151126477883668,0.7475523365924441,0.3436622460310783,0.8665687354126567,4,10,3,1.6641851643606558
random_021,randomized,identity,PDThreshold,OBSERVABLE_ONLY,64.0,619.0,-4346.5546278167485,-3839.3438248627062,-1546.2971148831657,561.0515979778897,2016.7320879998097,90.61662486124631,2687.6370945797244,112.62041835385892,3850.07746498252,5423.9003403924235,0.7833208690648743,6.484375,0.234375,0.875,0.890625,0.2665589660743134,0.711740395021045,4190.612130908695,0.5812814351079466,0.5357725723550116,0.06785137318255251,0.6025848142164781,0.3295638126009693,-0.05347334410339255,-0.0534782874411818,0.06703867540211383,0.0,0.0,0.0,-0.3759740972077562,0.18537870149664581,0.025738342896908756,0.5924140495822594,0.7655110655063506,0.4761452441530953,-6.282747833962629,1.6151126477883668,0.7475523365924441,0.3436622460310783,0.8665687354126567,4,10,3,1.6641851643606558
random_021,randomized,identity,PPO,OBSERVABLE_ONLY,64.0,451.0,-2682.7347246010713,-2456.286543617783,-1185.9796975529998,302.3109011558895,1438.6090694594131,49.68152924947613,1411.6901720555798,85.06485499249152,3026.1142972087437,3200.4381952200138,1.0877520073144806,6.71875,0.0,0.984375,0.890625,0.3392461197339246,0.5077105647649106,2657.1711528254673,0.6008359636373337,0.46838618529720233,0.0,0.9534368070953437,0.04656319290465632,-0.19999999999999996,-0.1887352296633007,0.1887352296633007,0.0,0.0,0.0,-0.7324263320817772,0.18537870149664581,0.025738342896908756,0.5924140495822594,0.7655110655063506,0.4761452441530953,-6.282747833962629,1.6151126477883668,0.7475523365924441,0.3436622460310783,0.8665687354126567,4,10,3,1.6641851643606558
random_021,randomized,identity,PPO_without_PD,OBSERVABLE_ONLY,64.0,451.0,-2682.7347246010713,-2456.286543617783,-1185.9796975529998,302.3109011558895,1438.6090694594131,49.68152924947613,1411.6901720555798,85.06485499249152,3026.1142972087437,3200.4381952200138,1.0877520073144806,6.71875,0.0,0.984375,0.890625,0.3392461197339246,0.5077105647649106,2657.1711528254673,0.6008359636373337,0.46838618529720233,0.0,0.9534368070953437,0.04656319290465632,-0.19999999999999996,-0.1887352296633007,0.1887352296633007,0.0,0.0,0.0,-0.7324263320817772,0.18537870149664581,0.025738342896908756,0.5924140495822594,0.7655110655063506,0.4761452441530953,-6.282747833962629,1.6151126477883668,0.7475523365924441,0.3436622460310783,0.8665687354126567,4,10,3,1.6641851643606558
random_021,randomized,identity,Random,OBSERVABLE_ONLY,64.0,649.0,-5436.971521698184,-4733.608417682917,-2026.9847539629163,641.9443187362265,2563.377913254467,105.55115944467622,3290.3015345179115,119.68523321735614,4276.430998593278,6487.1102043028595,0.7145339287954815,7.984375,3.34375,0.875,0.9375,0.2835130970724191,0.9046613674786379,5326.499560009282,0.5873637251834972,0.5809738253315899,0.3682588597842835,0.41910631741140214,0.21263482280431434,-0.009553158705701056,-0.010481284914833659,0.11802410799733888,0.07395993836671803,0.0,0.0,-0.10979630129457149,0.18537870149664581,0.025738342896908756,0.5924140495822594,0.7655110655063506,0.4761452441530953,-6.282747833962629,1.6151126477883668,0.7475523365924441,0.3436622460310783,0.8665687354126567,4,10,3,1.6641851643606558
random_021,randomized,identity,SIMULATOR_ONLY_ORACLE_Myopic,SIMULATOR_ONLY_ORACLE,64.0,717.0,-5993.019708405916,-5161.439551233913,-2152.351766826463,715.6974667852046,2751.361843469719,116.68739014194885,3708.0580740362084,132.6098675432453,4352.732974076282,9713.181131566622,0.5118538405636185,7.03125,1.0625,0.84375,0.921875,0.2733612273361227,0.9710042186412385,5928.860538116564,0.5879332323238263,0.5940633374378216,0.4560669456066946,0.17154811715481172,0.3723849372384937,0.05564853556485355,0.052378111670288094,0.11039763747224067,0.07810320781032078,0.0,0.0,0.9150771112757037,0.18537870149664581,0.025738342896908756,0.5924140495822594,0.7655110655063506,0.4761452441530953,-6.282747833962629,1.6151126477883668,0.7475523365924441,0.3436622460310783,0.8665687354126567,4,10,3,1.6641851643606558
random_003,randomized,identity,Static,OBSERVABLE_ONLY,64.0,715.0,-5761.714722209032,-4933.201606672972,-2171.7988466157803,723.2583429225842,2777.401581993295,117.6556075450691,3466.8812225295287,123.03465306372303,4430.373168636191,6902.752805769599,0.6695969978606855,0.0,0.0,0.90625,0.921875,0.24615384615384617,0.9801941025595314,5572.2163400492445,0.5528006896586933,0.5335981988201196,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08383718507554304,0.024438201788368415,0.36190051546422153,0.47297714446229844,0.5371225955669017,-6.199042450574395,0.9995615797321313,0.5132350541013817,0.5193577499138522,1.2951160734566616,7,10,4,1.743868846350211
